run_dir,summary_file,k,metric_variant,metric_key,total_instances,evaluated_instances,ranking_accuracy_all,ranking_accuracy_any,artifact_rate,bootstrap_reps,all_ci_low,all_ci_high,any_ci_low,any_ci_high
results/llada8b-n10-d8,summary_mc4.jsonl,4,unnormalized_cleaned,empirical_KL_div_clean,543,539,0.3821892393320965,0.7272727272727273,0.1653161448741559,5000,0.34137291280148424,0.42305194805194735,0.6901669758812616,0.764378478664193
results/llada8b-n10-d8,summary_mc4.jsonl,4,normalized_unfiltered,empirical_KL_div_normalized_all,543,543,0.4125230202578269,0.7440147329650092,0.1653161448741559,5000,0.3701657458563536,0.4548802946593002,0.7089779005524862,0.7808471454880295
results/llada8b-n10-d8,summary_mc4.jsonl,4,normalized_cleaned,empirical_KL_div_normalized_clean,543,539,0.39517625231910947,0.7291280148423006,0.1653161448741559,5000,0.35435992578849723,0.437847866419295,0.6920222634508348,0.7662337662337663
results/llada8b-n10-d8,summary_mc64.jsonl,64,unnormalized_unfiltered,empirical_KL_div_all,543,543,0.5064456721915286,0.7955801104972375,0.1653161448741559,5000,0.46408839779005523,0.5469613259668509,0.7624309392265194,0.8287292817679558
results/llada8b-n10-d8,summary_mc64.jsonl,64,unnormalized_cleaned,empirical_KL_div_clean,543,539,0.5046382189239332,0.7866419294990723,0.1653161448741559,5000,0.4619666048237477,0.5454545454545454,0.75139146567718,0.8200371057513914
results/llada8b-n10-d8,summary_mc64.jsonl,64,normalized_unfiltered,empirical_KL_div_normalized_all,543,543,0.5543278084714549,0.8379373848987108,0.1653161448741559,5000,0.5138121546961326,0.5966850828729282,0.8066298342541437,0.8692449355432781
results/llada8b-n10-d8,summary_mc64.jsonl,64,normalized_cleaned,empirical_KL_div_normalized_clean,543,539,0.5306122448979592,0.8311688311688312,0.1653161448741559,5000,0.48794063079777367,0.5714285714285714,0.7996289424860853,0.862708719851577
results/llada8b-n10-d8,summary_mc8.jsonl,8,unnormalized_unfiltered,empirical_KL_div_all,543,543,0.430939226519337,0.7495395948434622,0.1653161448741559,5000,0.39042357274401474,0.4732965009208103,0.714548802946593,0.7845303867403315
results/llada8b-n10-d8,summary_mc8.jsonl,8,unnormalized_cleaned,empirical_KL_div_clean,543,539,0.4025974025974026,0.7476808905380334,0.1653161448741559,5000,0.35992578849721707,0.44341372912801486,0.712430426716141,0.7847866419294991
results/llada8b-n10-d8,summary_mc8.jsonl,8,normalized_unfiltered,empirical_KL_div_normalized_all,543,543,0.43646408839779005,0.7421731123388582,0.1653161448741559,5000,0.39594843462246776,0.47697974217311234,0.7053406998158379,0.7790055248618785
results/llada8b-n10-d8,summary_mc8.jsonl,8,normalized_cleaned,empirical_KL_div_normalized_clean,543,539,0.4044526901669759,0.7439703153988868,0.1653161448741559,5000,0.36363636363636365,0.4452690166975881,0.7068645640074211,0.7810760667903525
results/llada8b-n10-d16,summary_mc128.jsonl,128,unnormalized_unfiltered,empirical_KL_div_all,543,543,0.6482504604051565,0.858195211786372,0.08425414364640885,5000,0.6077348066298343,0.6869244935543278,0.8287292817679558,0.8858195211786372
results/llada8b-n10-d16,summary_mc128.jsonl,128,unnormalized_cleaned,empirical_KL_div_clean,543,543,0.6445672191528545,0.8655616942909761,0.08425414364640885,5000,0.6040515653775322,0.6850828729281768,0.8378913443830571,0.8931860036832413
results/llada8b-n10-d16,summary_mc128.jsonl,128,normalized_unfiltered,empirical_KL_div_normalized_all,543,543,0.6427255985267035,0.848987108655617,0.08425414364640885,5000,0.6022099447513812,0.6832412523020258,0.8176795580110497,0.8784530386740331
results/llada8b-n10-d16,summary_mc128.jsonl,128,normalized_cleaned,empirical_KL_div_normalized_clean,543,543,0.6335174953959485,0.85451197053407,0.08425414364640885,5000,0.5930018416206262,0.6721915285451197,0.8250460405156538,0.8839779005524862
results/llada8b-n10-d16,summary_mc16.jsonl,16,unnormalized_unfiltered,empirical_KL_div_all,543,543,0.4106813996316759,0.7384898710865562,0.08425414364640885,5000,0.3683241252302026,0.45119705340699817,0.6998158379373849,0.7753222836095764
results/llada8b-n10-d16,summary_mc16.jsonl,16,unnormalized_cleaned,empirical_KL_div_clean,543,543,0.3867403314917127,0.7495395948434622,0.08425414364640885,5000,0.3462246777163904,0.427255985267035,0.712707182320442,0.7845303867403315
results/llada8b-n10-d16,summary_mc16.jsonl,16,normalized_unfiltered,empirical_KL_div_normalized_all,543,543,0.4696132596685083,0.7734806629834254,0.08425414364640885,5000,0.427255985267035,0.5119705340699816,0.7384898710865562,0.8066298342541437
results/llada8b-n10-d16,summary_mc16.jsonl,16,normalized_cleaned,empirical_KL_div_normalized_clean,543,543,0.45119705340699817,0.7716390423572744,0.08425414364640885,5000,0.4088397790055249,0.49355432780847147,0.7348066298342542,0.8066298342541437
