model,diffusion_steps,mc,section,total_instances,total_evaluated,artifact_rate,rank_acc_all,rank_acc_any,mean_kl_valid,mean_kl_distractor
llada8b-n10-d128,128,8,Unnormalized_Cleaned,543.0,541.0,0.0641025641025641,0.38632162661737524,0.7190388170055453,3.1082290587849615,4.776334550169126
llada8b-n10-d2,2,16,Unnormalized_Cleaned,543.0,527.0,0.20543345543345543,0.444022770398482,0.7685009487666035,0.4854512249709253,2.5218833553713442
llada8b-n10-d4,4,16,Unnormalized_Cleaned,543.0,491.0,0.41178266178266176,0.39307535641547864,0.7433808553971487,0.7531144390259453,2.211656402186789
llada8b-n10-d8,8,16,Unnormalized_Cleaned,543.0,539.0,0.16544566544566544,0.44155844155844154,0.7588126159554731,1.1920527222392003,3.046666532266265
llada8b-n10-d16,16,16,Unnormalized_Cleaned,543.0,543.0,0.0843101343101343,0.3867403314917127,0.7495395948434622,1.469295711068479,3.901839388493136
llada8b-n10-d32,32,16,Unnormalized_Cleaned,543.0,541.0,0.06367521367521367,0.4399260628465804,0.7689463955637708,2.2551138060559124,6.006842568099643
llada8b-n10-d64,64,16,Unnormalized_Cleaned,543.0,540.0,0.06442816442816443,0.4,0.7148148148148148,3.36527017194281,5.1255731110968945
llada8b-n10-d128,128,16,Unnormalized_Cleaned,543.0,541.0,0.0641025641025641,0.3844731977818854,0.7282809611829945,2.9979137088739547,5.083977663720559
llada8b-n10-d2,2,32,Unnormalized_Cleaned,543.0,527.0,0.20543345543345543,0.4667931688804554,0.7666034155597723,0.5913207290115854,2.385959230502848
llada8b-n10-d4,4,32,Unnormalized_Cleaned,543.0,491.0,0.41178266178266176,0.42362525458248473,0.7739307535641547,0.6621837215967769,2.341806294594084
llada8b-n10-d8,8,32,Unnormalized_Cleaned,543.0,539.0,0.16544566544566544,0.4582560296846011,0.7606679035250464,1.0429271403018125,2.927584905101591
llada8b-n10-d16,16,32,Unnormalized_Cleaned,543.0,543.0,0.0843101343101343,0.429097605893186,0.7532228360957642,1.3191507592921126,3.776783966131354
llada8b-n10-d32,32,32,Unnormalized_Cleaned,543.0,541.0,0.06367521367521367,0.41404805914972276,0.7523105360443623,2.2560724910448458,5.4383101875795825
llada8b-n10-d64,64,32,Unnormalized_Cleaned,543.0,540.0,0.06442816442816443,0.40555555555555556,0.7592592592592593,3.298157484980094,5.584844054464588
llada8b-n10-d128,128,32,Unnormalized_Cleaned,543.0,541.0,0.0641025641025641,0.40850277264325324,0.7541589648798521,3.0655577207639846,5.377980451007363
llada8b-n10-d2,2,64,Unnormalized_Cleaned,543.0,527.0,0.20543345543345543,0.48956356736242884,0.7836812144212524,0.7268850857559778,2.3813445594259246
llada8b-n10-d4,4,64,Unnormalized_Cleaned,543.0,491.0,0.41178266178266176,0.47657841140529533,0.7841140529531568,0.39977506722653305,2.1195014880794263
llada8b-n10-d8,8,64,Unnormalized_Cleaned,543.0,539.0,0.16544566544566544,0.5046382189239332,0.7866419294990723,0.8383914466906196,2.79514745710243
llada8b-n10-d16,16,64,Unnormalized_Cleaned,543.0,543.0,0.0843101343101343,0.430939226519337,0.7569060773480663,1.4321068126547718,3.3814718490201416
llada8b-n10-d32,32,64,Unnormalized_Cleaned,543.0,541.0,0.06367521367521367,0.40850277264325324,0.7412199630314233,2.2749096273765,4.667538304427714
llada8b-n10-d64,64,64,Unnormalized_Cleaned,543.0,540.0,0.06442816442816443,0.44074074074074077,0.7870370370370371,3.041152388719112,6.0186633159308665
llada8b-n10-d128,128,64,Unnormalized_Cleaned,543.0,541.0,0.0641025641025641,0.4399260628465804,0.7486136783733827,2.9556331890992866,5.675329926016907
llada8b-n10-d2,2,128,Unnormalized_Cleaned,543.0,527.0,0.20543345543345543,0.6736242884250474,0.8842504743833017,0.5931859051680247,2.513420386009009
llada8b-n10-d4,4,128,Unnormalized_Cleaned,543.0,491.0,0.41178266178266176,0.6252545824847251,0.8513238289205702,0.421492665918678,2.1915526543488553
llada8b-n10-d8,8,128,Unnormalized_Cleaned,543.0,539.0,0.16544566544566544,0.6530612244897959,0.8849721706864564,0.8063914664262067,2.810990220336041
llada8b-n10-d16,16,128,Unnormalized_Cleaned,543.0,543.0,0.0843101343101343,0.6445672191528545,0.8655616942909761,1.431835036604422,3.789428237674315
llada8b-n10-d32,32,128,Unnormalized_Cleaned,543.0,541.0,0.06367521367521367,0.6284658040665434,0.8262476894639557,2.150068646820143,4.908321624039545
llada8b-n10-d64,64,128,Unnormalized_Cleaned,543.0,540.0,0.06442816442816443,0.5685185185185185,0.8203703703703704,2.8605356065560414,5.599623003721977
llada8b-n10-d128,128,128,Unnormalized_Cleaned,543.0,541.0,0.0641025641025641,0.5693160813308688,0.7948243992606284,2.8690150806604473,5.625671810433782
llada8b-n10-d2,2,256,Unnormalized_Cleaned,543.0,527.0,0.20543345543345543,0.7381404174573055,0.8994307400379506,0.562925449889983,2.584529991256242
llada8b-n10-d4,4,256,Unnormalized_Cleaned,543.0,491.0,0.41178266178266176,0.6802443991853361,0.8778004073319755,0.44458504949303823,2.218932759167438
llada8b-n10-d8,8,256,Unnormalized_Cleaned,543.0,539.0,0.16544566544566544,0.725417439703154,0.9183673469387755,0.7722167905613897,2.8227880157448717
llada8b-n10-d16,16,256,Unnormalized_Cleaned,543.0,543.0,0.0843101343101343,0.6961325966850829,0.8913443830570903,1.4079770681400092,3.8057328343735857
llada8b-n10-d32,32,256,Unnormalized_Cleaned,543.0,541.0,0.06367521367521367,0.6358595194085028,0.8373382624768947,2.144580064552722,4.949579272938305
llada8b-n10-d64,64,256,Unnormalized_Cleaned,543.0,540.0,0.06442816442816443,0.5796296296296296,0.8185185185185185,2.863640593204404,5.627389995409937
llada8b-n10-d128,128,256,Unnormalized_Cleaned,543.0,541.0,0.0641025641025641,0.5859519408502772,0.8040665434380776,2.884720379796411,5.658226445704429
